RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;25/06/2025;Desaprovada;Decisão Monocrática;'162030810' ;'-' ;;09/08/2024;18/06/2025;;;-;-;9522182.82;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;29/09/2023;-;-;'-' ;'0601766402017' ;28/04/2017;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;29/09/2023;Desaprovada;Acórdão;'156973270' ;'-' ;;11/11/2021;24/02/2023;;;102290.3;-;2557257.48;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060175426' ;26/04/2017;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060182965' ;01/05/2017;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;29/09/2023;Desaprovada;Acórdão;'152620538' ;'-' ;;13/09/2021;07/02/2022;;;-;-;461209.43;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060188161' ;03/05/2017;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;12/06/2023;Aprovada com ressalvas;Acórdão;'158243149' ;'-' ;;24/10/2022;27/10/2022;;;-;-;488181.84;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060184956' ;02/05/2017;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060157070' ;07/04/2017;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;29/05/2023;Aprovada com ressalvas;Acórdão;'0601267-56' ;'060126756' ;23/03/2017;01/04/2022;30/09/2022;;;-;-;199273.53;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;22/01/2026;Desaprovada;Acórdão;'157974601' ;'060183050' ;01/05/2017;01/09/2022;22/08/2025;;;-;76954.92;1539098.43;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060182613' ;28/04/2017;;;;;-;-;-;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'42817' ;'-' ;;06/10/2021;24/09/2022;;;-;-;244952;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060180707' ;28/04/2017;;;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;31/01/2024;Desaprovada;Acórdão;'ID. 157920901' ;'-' ;;05/09/2022;18/08/2023;;;-;30950.61;619012.37;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060185818' ;02/05/2017;;;;;-;-;-;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;29/09/2023;Desaprovada;Acórdão;'141834288' ;'-' ;;02/08/2021;25/10/2021;;;-;-;217803.22;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600438412018' ;01/05/2018;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;28/09/2023;Desaprovada;Acórdão;'157002657' ;'-' ;;22/11/2021;26/11/2021;;;-;-;895895.52;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600424572018' ;30/04/2018;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Aprovada com ressalvas;Acórdão;'158994675' ;'-' ;;25/05/2023;28/08/2023;;;-;-;998790.77;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600412432018' ;29/04/2018;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;14/04/2026;Desaprovada;Acórdão;'158725154' ;'-' ;;07/03/2023;27/02/2024;;;-;-;745547.58;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600421052018' ;30/04/2018;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600417652018' ;30/04/2018;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;18/04/2024;Aprovada com ressalvas;Acórdão;'417-65' ;'-' ;;22/05/2023;29/09/2023;;;-;0;1425.04;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600429792018' ;30/04/2018;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;16/10/2025;Desaprovada;Acórdão;'164687045' ;'-' ;;08/01/2025;11/02/2025;;;-;443179.99;3973388.03;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600428942018' ;30/04/2018;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;02/12/2024;Aprovada com ressalvas;Acórdão;'158957978' ;'-' ;;05/05/2023;05/10/2024;;;-;-;875759.79;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600397742018' ;27/04/2018;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'157368992' ;'-' ;;18/03/2022;02/06/2022;;;179194.33;-;1823569.4;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600420202018' ;30/04/2018;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600405512018' ;28/04/2018;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;10/11/2023;Aprovada com ressalvas;Acórdão;'156938663' ;'-' ;;04/11/2021;03/02/2023;;;-;-;197084.91;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600413282018' ;29/04/2018;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;17/12/2024;Desaprovada;Acórdão;'157948042' ;'-' ;;07/03/2023;28/05/2024;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600402962018' ;27/04/2018;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600398592018' ;27/04/2018;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;09/12/2025;Desaprovada;Acórdão;'158957980' ;'-' ;;11/05/2023;19/03/2025;;;-;67610.3;830535.58;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'158664756' ;'0600385602018' ;26/04/2018;07/03/2023;13/03/2023;;;79117;-;791169.96;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600434042018' ;30/04/2018;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;03/12/2024;Aprovada com ressalvas;Acórdão;'158771781' ;'-' ;;20/03/2023;23/08/2024;;;-;-;2211400.03;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600404662018' ;28/01/2018;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600436712018' ;30/04/2018;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;13/11/2023;Aprovada com ressalvas;Acórdão;'158957977' ;'-' ;;05/05/2023;11/10/2023;;;-;-;633837.5;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600415952018' ;30/04/2018;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;17/10/2023;Desaprovada;Acórdão;'159588483' ;'-' ;;10/10/2023;16/10/2023;;;-;90.68;1813.65;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'060043234' ;30/04/2018;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600419352018' ;30/04/2018;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600416802018' ;30/04/2018;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600395072018' ;27/01/2018;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;06/09/2023;Desaprovada;Acórdão;'158725165' ;'-' ;;28/03/2023;14/08/2023;;;59909.4;-;599094;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600384752018' ;25/04/2018;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Aprovada com ressalvas;Decisão Monocrática;'157351187' ;'-' ;;09/05/2022;12/06/2022;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;15/03/2024;Aprovada com ressalvas;Decisão Monocrática;'157031121' ;'0600370912018' ;24/01/2018;03/02/2022;27/09/2023;;;-;-;131332.69;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SD;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600423722018' ;30/04/2018;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SD;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Aprovada com ressalvas;Acórdão;'159130048' ;'-' ;;28/08/2023;31/08/2023;;;-;-;292349.01;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600406362018' ;28/04/2018;;;;;-;-;-;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'158629616' ;'-' ;;16/02/2023;12/05/2023;;;475080.15;-;1893583.78;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600409882018' ;28/04/2018;;;;;-;-;-;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;12/09/2023;Aprovada com ressalvas;Decisão Monocrática;'157031123' ;'-' ;;03/02/2022;29/04/2022;;;-;-;38937;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600433192018' ;30/04/2018;;;;;-;-;-;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;30/06/2023;Desaprovada;Acórdão;'158128063' ;'-' ;;30/09/2022;05/10/2022;;;-;30835.5;308355.03;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Em trâmite;25/11/2018;-;-;'-' ;'060176470' ;27/04/2017;;;;;-;-;-;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2016;BR - BRASIL;-;Julgada;12/04/2022;Aprovada com ressalvas;Acórdão;'0601764' ;'-' ;;13/12/2021;17/12/2021;;;-;-;13778.45;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600389972018' ;26/04/2018;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'158924235' ;'-' ;;28/04/2023;04/05/2023;;;388565.65;-;3238047.12;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;29/04/2019;-;-;'-' ;'0600411582018' ;29/04/2018;;;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;09/06/2023;Desaprovada;Acórdão;'157013289' ;'-' ;;15/12/2021;03/02/2023;;;-;7813.5;97668.79;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600410732018' ;29/04/2018;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;18/02/2022;Aprovada com ressalvas;Acórdão;'06004107320186000000' ;'-' ;;03/02/2022;07/02/2022;;;-;-;233109.44;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600414132018' ;29/04/2018;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;10/11/2023;Aprovada com ressalvas;Acórdão;'158286189' ;'-' ;;10/11/2022;06/02/2023;;;-;-;567566.28;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600422872018' ;30/04/2018;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Julgada;07/06/2023;Desaprovada;Acórdão;'157119730' ;'-' ;;07/02/2022;10/02/2023;;;-;10444.64;208892.85;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2017;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600441932018' ;02/05/2018;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;25/08/2023;-;-;'-' ;'06014335420186000000' ;24/09/2018;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;25/08/2023;Aprovada com ressalvas;Acórdão;'158725170' ;'-' ;;09/03/2023;13/03/2023;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600217242019' ;26/04/2019;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;24/05/2024;Desaprovada;Acórdão;'160347541' ;'-' ;;17/05/2024;22/05/2024;;;-;196294.13;1962941.31;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600216392019' ;26/04/2019;;;;;-;-;-;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600215542019' ;26/04/2019;;;;;-;-;-;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;31/10/2023;Aprovada com ressalvas;Acórdão;'157086803' ;'-' ;;13/12/2021;28/04/2022;;;10127.4;0;101273.97;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600209472019' ;25/04/2019;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600189562019' ;15/04/2019;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600116842019' ;26/03/2019;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;06/02/2025;Aprovada com ressalvas;Acórdão;'159991916' ;'-' ;;24/06/2024;25/09/2024;;;-;-;571039.17;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600243222019' ;30/04/2019;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;17/12/2024;Aprovada com ressalvas;Acórdão;'159832717' ;'-' ;;06/12/2023;30/08/2024;;;-;-;1038077.9;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600242372019' ;30/04/2019;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600240672019' ;29/04/2019;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600239822019' ;29/04/2019;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600238972019' ;29/04/2019;;;;;-;-;-;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600237152019' ;29/04/2019;;;;;-;-;-;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;10/10/2022;Desaprovada;Acórdão;'0600237-15.2019.6.00' ;'-' ;;05/04/2021;08/04/2021;;;-;-;1420215.46;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600236302019' ;29/04/2019;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600235452019' ;29/04/2019;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;06/05/2025;Aprovada;Acórdão;'158725174' ;'-' ;;21/03/2023;24/03/2023;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600231082019' ;29/04/2019;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;26/04/2024;Aprovada com ressalvas;Acórdão;'231-08' ;'-' ;;21/03/2024;04/04/2024;;;-;-;320883.51;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600229382019' ;29/04/2019;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600228532019' ;29/04/2019;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600226832019' ;28/04/2019;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;23/11/2024;Desaprovada Total;Acórdão;'158926478' ;'-' ;;20/04/2023;30/08/2024;;;-;-;1180642.03;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;06/05/2024;Aprovada com ressalvas;Acórdão;'157963876' ;'0600225982019' ;28/04/2019;31/08/2022;23/02/2024;;;-;-;289352.53;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600224162019' ;27/04/2019;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600223312019' ;27/04/2019;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;07/05/2024;Aprovada com ressalvas;Acórdão;'160347547' ;'-' ;;17/04/2024;02/05/2024;;;-;-;3180;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600222462019' ;26/04/2019;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;21/08/2024;Aprovada com ressalvas;Acórdão;'0600222-46.2019.6.00' ;'-' ;;16/02/2024;12/06/2024;;;-;-;284677.26;Não;
