RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;14/06/2017;Desaprovada Parcial;Acórdão;'714682011' ;'-' ;;17/06/2016;05/06/2017;06/06/2017;06/07/2017;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'90122011' ;27/04/2011;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Não apresentada;18/07/2024;Aprovada com ressalvas;Acórdão;'-' ;'456' ;19/10/2022;;26/09/2016;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;18/07/2024;Conta não prestada;Acórdão;'125' ;'-' ;;24/11/2023;16/12/2024;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Regularizada;18/07/2024;-;Regularizada;'-' ;'453' ;;31/10/2024;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95642011' ;02/05/2011;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;16/05/2016;Desaprovada;Acórdão;'901762011' ;'-' ;;15/06/2016;03/06/2017;04/06/2017;04/07/2017;-;0;295420.8;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'93262011' ;28/04/2011;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;18/08/2016;Aprovada com ressalvas;Decisão Monocrática;'85150' ;'-' ;;28/04/2016;12/08/2016;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'96202011' ;02/05/2011;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;23/02/2018;Aprovada com ressalvas;Acórdão;'918152011' ;'-' ;;23/05/2016;22/02/2018;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95972011' ;02/05/2011;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;25/05/2023;Aprovada com ressalvas;Acórdão;'805-61' ;'-' ;;06/12/2016;30/04/2022;;;-;-;107755.88;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95782011' ;02/05/2011;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - PSDC;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;14/06/2017;Aprovada com ressalvas;Acórdão;'800392011' ;'-' ;;24/06/2016;13/06/2017;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'96222011' ;02/05/2011;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;02/05/2016;Aprovada com ressalvas;Acórdão;'-' ;'-' ;;31/03/2016;05/04/2016;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'96332011' ;02/05/2011;;;;;-;-;-;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;18/08/2016;Aprovada com ressalvas;Acórdão;'92167' ;'-' ;;06/05/2016;12/08/2016;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'95752011' ;02/05/2011;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;16/05/2013;-;-;'-' ;'94522011' ;29/04/2011;;;;;-;-;-;Não;
